blake2b512, 1b, 0.00, 0.00, 0.00
blake2s256, 1b, 0.00, 0.00, 0.00
Command exited with non-zero status 1
gost, 1b, 0.00, 0.00, 0.00
md4, 1b, 0.00, 0.00, 0.00
md5, 1b, 0.00, 0.00, 0.00
rmd160, 1b, 0.00, 0.00, 0.00
sha1, 1b, 0.00, 0.00, 0.00
sha224, 1b, 0.00, 0.00, 0.00
sha256, 1b, 0.00, 0.00, 0.00
sha3-224, 1b, 0.00, 0.00, 0.00
sha3-256, 1b, 0.00, 0.00, 0.00
sha3-384, 1b, 0.00, 0.00, 0.00
sha3-512, 1b, 0.00, 0.00, 0.00
sha384, 1b, 0.00, 0.00, 0.00
sha512, 1b, 0.00, 0.00, 0.00
sha512-224, 1b, 0.00, 0.00, 0.00
sha512-256, 1b, 0.00, 0.00, 0.00
shake128, 1b, 0.00, 0.00, 0.00
shake256, 1b, 0.00, 0.00, 0.00
sm3, 1b, 0.00, 0.00, 0.00
blake2b512, 1K, 0.00, 0.00, 0.00
blake2s256, 1K, 0.00, 0.00, 0.00
Command exited with non-zero status 1
gost, 1K, 0.00, 0.00, 0.00
md4, 1K, 0.00, 0.00, 0.00
md5, 1K, 0.00, 0.00, 0.00
rmd160, 1K, 0.00, 0.00, 0.00
sha1, 1K, 0.00, 0.00, 0.00
sha224, 1K, 0.00, 0.00, 0.00
sha256, 1K, 0.00, 0.00, 0.00
sha3-224, 1K, 0.00, 0.00, 0.00
sha3-256, 1K, 0.00, 0.00, 0.00
sha3-384, 1K, 0.00, 0.00, 0.00
sha3-512, 1K, 0.00, 0.00, 0.00
sha384, 1K, 0.00, 0.00, 0.00
sha512, 1K, 0.00, 0.00, 0.00
sha512-224, 1K, 0.00, 0.00, 0.00
sha512-256, 1K, 0.00, 0.00, 0.00
shake128, 1K, 0.00, 0.00, 0.00
shake256, 1K, 0.00, 0.00, 0.00
sm3, 1K, 0.00, 0.00, 0.00
blake2b512, 1M, 0.00, 0.00, 0.00
blake2s256, 1M, 0.00, 0.00, 0.00
Command exited with non-zero status 1
gost, 1M, 0.00, 0.00, 0.00
md4, 1M, 0.00, 0.00, 0.00
md5, 1M, 0.00, 0.00, 0.00
rmd160, 1M, 0.00, 0.00, 0.00
sha1, 1M, 0.00, 0.00, 0.00
sha224, 1M, 0.00, 0.00, 0.00
sha256, 1M, 0.00, 0.00, 0.00
sha3-224, 1M, 0.00, 0.00, 0.00
sha3-256, 1M, 0.00, 0.00, 0.00
sha3-384, 1M, 0.00, 0.00, 0.00
sha3-512, 1M, 0.00, 0.00, 0.00
sha384, 1M, 0.00, 0.00, 0.00
sha512, 1M, 0.00, 0.00, 0.00
sha512-224, 1M, 0.00, 0.00, 0.00
sha512-256, 1M, 0.00, 0.00, 0.00
shake128, 1M, 0.00, 0.00, 0.00
shake256, 1M, 0.00, 0.00, 0.00
sm3, 1M, 0.00, 0.00, 0.00
blake2b512, 10M, 0.01, 0.01, 0.00
blake2s256, 10M, 0.02, 0.01, 0.00
Command exited with non-zero status 1
gost, 10M, 0.00, 0.00, 0.00
md4, 10M, 0.01, 0.00, 0.00
md5, 10M, 0.01, 0.01, 0.00
rmd160, 10M, 0.03, 0.03, 0.00
sha1, 10M, 0.01, 0.01, 0.00
sha224, 10M, 0.02, 0.02, 0.00
sha256, 10M, 0.03, 0.02, 0.00
sha3-224, 10M, 0.04, 0.03, 0.00
sha3-256, 10M, 0.03, 0.02, 0.00
sha3-384, 10M, 0.05, 0.03, 0.01
sha3-512, 10M, 0.06, 0.05, 0.00
sha384, 10M, 0.02, 0.01, 0.00
sha512, 10M, 0.02, 0.01, 0.00
sha512-224, 10M, 0.02, 0.01, 0.00
sha512-256, 10M, 0.02, 0.01, 0.00
shake128, 10M, 0.03, 0.02, 0.00
shake256, 10M, 0.04, 0.03, 0.00
sm3, 10M, 0.05, 0.04, 0.00
blake2b512, 100M, 0.13, 0.12, 0.00
blake2s256, 100M, 0.20, 0.17, 0.02
Command exited with non-zero status 1
gost, 100M, 0.00, 0.00, 0.00
md4, 100M, 0.09, 0.08, 0.00
md5, 100M, 0.14, 0.12, 0.01
rmd160, 100M, 0.32, 0.31, 0.00
sha1, 100M, 0.12, 0.11, 0.00
sha224, 100M, 0.24, 0.23, 0.00
sha256, 100M, 0.24, 0.22, 0.01
sha3-224, 100M, 0.24, 0.23, 0.00
sha3-256, 100M, 0.27, 0.24, 0.01
sha3-384, 100M, 0.36, 0.33, 0.00
sha3-512, 100M, 0.46, 0.42, 0.02
sha384, 100M, 0.17, 0.16, 0.00
sha512, 100M, 0.17, 0.16, 0.00
sha512-224, 100M, 0.18, 0.16, 0.00
sha512-256, 100M, 0.17, 0.15, 0.01
shake128, 100M, 0.21, 0.19, 0.01
shake256, 100M, 0.26, 0.25, 0.00
sm3, 100M, 0.39, 0.36, 0.01
